# tiempos tomados con podas G, S y Z, Para cada posible x=n^2-k, promediado entre todos
n^2-k tiempo
0 0,0000000000060587
1 0,0000000000064289
2 0,0000000000214076
3 0,0000002251916557
4 0,0000000000212604
5 0,0000002455025809
6 0,0000000000100445
7 0,0001160333333333
8 0,0001215000000000
9 0,0001296000000000
10 0,0001088823529412
11 0,0001290222222222
12 0,0000000000158277
13 0,0000001612784942
14 0,0000000000158419
15 0,0000001721261382
16 0,0000000000158740
17 0,0000001152517502
18 0,0000000000038552
19 0,0000001134859896
20 0,0000000000111147
21 0,0000001267769252
22 0,0000000000042785
23 0,0000001277250968
24 0,0000000000113100
25 0,0000001176974107
26 0,0000000001963542
27 0,0001568000000000
28 0,0000000000035064
29 0,0000000657067903
30 0,0000000000088699
31 0,0000000792145828
32 0,0001763333333333
33 0,0001878666666667
34 0,0000000000069055
35 0,0000000660937118
