# tiempos tomados sin podas G, S y Z. Y sin promediar las muestras. 
n^2-k tiempo
18 0,00030900
18 0,00016000
18 0,00034300
18 0,00023800
18 0,00012500
17 0,00009500
17 0,00010200
17 0,00017200
17 0,00024400
17 0,00012800
17 0,00008100
17 0,00010200
17 0,00026000
17 0,00025400
17 0,00006800
17 0,00007600
17 0,00012100
17 0,00014100
17 0,00017000
17 0,00018300
16 0,00018900
16 0,00010500
16 0,00010900
16 0,00011800
16 0,00021500
16 0,00013800
16 0,00014600
16 0,00015000
16 0,00011900
16 0,00011100
16 0,00007700
16 0,00012000
16 0,00015700
16 0,00026400
16 0,00025600
15 0,00011300
15 0,00006100
15 0,00010100
15 0,00014200
15 0,00023000
15 0,00026500
15 0,00020500
15 0,00010000
15 0,00013200
15 0,00031200
15 0,00017800
15 0,00017400
15 0,00015200
15 0,00010200
15 0,00008700
14 0,00006700
14 0,00010700
14 0,00010200
14 0,00010500
14 0,00013000
14 0,00008300
14 0,00015800
14 0,00011900
14 0,00012200
14 0,00012200
14 0,00010000
14 0,00010500
14 0,00013200
14 0,00011900
14 0,00009200
13 0,00006700
13 0,00010900
13 0,00012300
13 0,00015900
13 0,00018900
13 0,00013300
13 0,00010300
13 0,00009200
13 0,00008300
13 0,00012400
13 0,00011500
13 0,00012700
13 0,00015500
13 0,00018000
13 0,00013200
12 0,00009500
12 0,00009300
12 0,00008500
12 0,00010200
12 0,00013200
12 0,00012500
12 0,00013600
12 0,00013200
12 0,00014300
12 0,00010400
12 0,00009800
12 0,00008000
12 0,00010000
12 0,00008500
12 0,00012400
11 0,00013300
11 0,00013100
11 0,00011800
11 0,00013200
11 0,00012900
11 0,00010000
11 0,00008500
11 0,00015900
11 0,00017300
11 0,00013100
11 0,00011900
11 0,00013200
11 0,00009500
11 0,00009600
11 0,00010400
10 0,00012000
10 0,00010600
10 0,00012100
10 0,00012600
10 0,00012900
10 0,00011600
10 0,00013400
10 0,00010800
10 0,00009700
10 0,00008000
10 0,00010300
10 0,00013000
10 0,00012300
10 0,00012500
10 0,00016000
9 0,00016200
9 0,00012800
9 0,00012800
9 0,00012400
9 0,00012100
9 0,00010100
9 0,00012900
9 0,00012100
9 0,00011700
9 0,00012500
9 0,00013700
9 0,00014100
9 0,00013400
9 0,00012200
9 0,00014000
8 0,00010100
8 0,00007700
8 0,00009200
8 0,00010700
8 0,00009000
8 0,00010500
8 0,00015400
8 0,00012300
8 0,00013900
8 0,00013700
8 0,00011600
8 0,00009800
8 0,00015400
8 0,00010000
8 0,00014400
7 0,00012100
7 0,00014700
7 0,00012500
7 0,00009900
7 0,00010200
7 0,00015500
7 0,00014400
7 0,00016200
7 0,00015000
7 0,00014300
7 0,00013400
7 0,00015700
7 0,00009800
7 0,00011500
7 0,00009800
6 0,00010700
6 0,00013000
6 0,00011400
6 0,00013900
6 0,00012300
6 0,00012600
6 0,00014100
6 0,00015800
6 0,00013600
6 0,00009900
6 0,00010500
6 0,00009200
6 0,00009700
6 0,00009100
6 0,00013700
5 0,00014600
5 0,00018800
5 0,00011400
5 0,00013500
5 0,00014300
5 0,00010300
5 0,00008900
5 0,00011600
5 0,00011900
5 0,00011700
5 0,00013000
5 0,00011100
5 0,00012500
5 0,00017400
5 0,00008700
4 0,00010100
4 0,00024300
4 0,00015900
4 0,00014800
4 0,00009900
4 0,00008900
4 0,00011400
4 0,00015300
4 0,00012500
4 0,00010000
4 0,00010000
4 0,00012400
4 0,00012700
4 0,00012500
4 0,00012800
3 0,00010600
3 0,00013700
3 0,00010600
3 0,00009700
3 0,00009800
3 0,00010300
3 0,00010300
3 0,00012500
3 0,00013800
3 0,00016100
3 0,00014500
3 0,00012800
3 0,00009700
3 0,00009900
3 0,00008400
2 0,00010200
2 0,00010700
2 0,00011400
2 0,00013800
2 0,00008900
2 0,00011400
2 0,00012600
2 0,00011800
2 0,00010000
2 0,00006500
2 0,00009500
2 0,00010200
2 0,00010900
2 0,00010000
2 0,00014100
1 0,00015000
1 0,00013200
1 0,00010000
1 0,00012500
1 0,00013600
1 0,00009100
1 0,00007400
1 0,00012300
1 0,00009200
1 0,00013400
1 0,00013400
1 0,00009300
1 0,00012900
1 0,00010600
1 0,00014900
0 0,00012200
0 0,00012100
0 0,00010300
0 0,00011900
0 0,00015100
0 0,00012900
0 0,00011700
0 0,00014500
0 0,00011400
0 0,00008500
0 0,00006500
0 0,00006400
0 0,00013600
0 0,00010300
0 0,00011700
36 0,00013600
36 0,00014300
36 0,00024600
36 0,00011600
36 0,00017400
36 0,00024800
36 0,00015700
36 0,00023300
36 0,00012700
36 0,00014600
36 0,00011300
36 0,00012700
36 0,00014900
36 0,00012000
36 0,00010100
35 0,00013900
35 0,00030000
35 0,00022400
35 0,00017200
35 0,00028800
35 0,00016000
35 0,00010600
35 0,00008400
35 0,00013600
35 0,00026000
35 0,00012200
35 0,00007300
35 0,00014000
35 0,00014900
35 0,00024400
34 0,00015500
34 0,00016900
34 0,00026100
34 0,00028000
34 0,00012700
34 0,00012900
34 0,00011200
34 0,00012000
34 0,00022600
34 0,00010700
34 0,00011300
34 0,00009500
34 0,00011000
34 0,00011400
34 0,00011600
33 0,00008100
33 0,00009200
33 0,00010000
33 0,00010200
33 0,00011100
33 0,00013400
33 0,00028000
33 0,00027200
33 0,00026100
33 0,00011700
33 0,00009300
33 0,00014100
33 0,00022200
33 0,00011100
33 0,00012100
32 0,00011000
32 0,00011700
32 0,00010500
32 0,00010000
32 0,00011600
32 0,00024300
32 0,00013100
32 0,00010600
32 0,00010600
32 0,00012500
32 0,00010800
32 0,00011500
32 0,00017600
32 0,00015800
32 0,00027100
31 0,00022800
31 0,00016600
31 0,00014000
31 0,00026900
31 0,00024600
31 0,00014100
31 0,00024900
31 0,00013900
31 0,00023100
31 0,00012800
31 0,00011000
31 0,00010400
31 0,00008400
31 0,00011900
31 0,00010400
30 0,00012400
30 0,00014000
30 0,00010600
30 0,00011300
30 0,00012100
30 0,00011600
30 0,00014100
30 0,00024800
30 0,00012800
30 0,00022800
30 0,00009200
30 0,00011300
30 0,00014100
30 0,00024900
30 0,00012200
29 0,00011100
29 0,00010500
29 0,00013200
29 0,00010800
29 0,00013500
29 0,00011900
29 0,00011800
29 0,00014800
29 0,00022400
29 0,00010400
29 0,00011000
29 0,00013200
29 0,00018300
29 0,00025600
29 0,00027300
28 0,00024000
28 0,00010900
28 0,00009900
28 0,00010300
28 0,00012500
28 0,00019900
28 0,00018600
28 0,00015200
28 0,00022800
28 0,00010800
28 0,00012100
28 0,00011500
28 0,00013300
28 0,00020000
28 0,00011000
27 0,00010200
27 0,00010800
27 0,00014500
27 0,00020100
27 0,00013800
27 0,00010400
27 0,00012400
27 0,00014500
27 0,00011900
27 0,00016900
27 0,00009700
27 0,00013000
27 0,00023100
27 0,00014000
27 0,00016800
26 0,00010800
26 0,00013400
26 0,00012300
26 0,00010100
26 0,00007700
26 0,00015700
26 0,00017200
26 0,00016900
26 0,00023700
26 0,00012100
26 0,00010900
26 0,00017000
26 0,00029200
26 0,00010400
26 0,00009900
25 0,00014300
25 0,00014300
25 0,00013200
25 0,00020700
25 0,00012100
25 0,00013400
25 0,00011700
25 0,00011200
25 0,00015500
25 0,00011000
25 0,00010100
25 0,00016200
25 0,00015100
25 0,00012300
25 0,00022900
24 0,00023400
24 0,00012400
24 0,00010900
24 0,00009700
24 0,00014200
24 0,00009300
24 0,00020900
24 0,00029000
24 0,00013600
24 0,00010000
24 0,00016300
24 0,00028700
24 0,00025700
24 0,00030000
24 0,00014300
23 0,00021100
23 0,00013600
23 0,00015300
23 0,00022700
23 0,00017200
23 0,00009100
23 0,00014600
23 0,00018600
23 0,00024300
23 0,00012300
23 0,00007200
23 0,00007300
23 0,00008600
23 0,00009300
23 0,00014300
22 0,00029500
22 0,00010200
22 0,00007300
22 0,00010200
22 0,00009900
22 0,00013400
22 0,00018500
22 0,00010100
22 0,00008400
22 0,00010200
22 0,00012700
22 0,00014100
22 0,00010000
22 0,00010100
22 0,00010100
21 0,00013100
21 0,00009100
21 0,00005900
21 0,00007400
21 0,00008100
21 0,00011800
21 0,00009900
21 0,00012200
21 0,00011200
21 0,00019900
21 0,00020900
21 0,00013400
21 0,00010200
21 0,00010500
21 0,00018700
20 0,00017000
20 0,00011800
20 0,00013100
20 0,00016200
20 0,00019000
20 0,00013200
20 0,00015200
20 0,00014300
20 0,00011200
20 0,00011000
20 0,00007900
20 0,00009400
20 0,00010200
20 0,00009700
20 0,00012500
19 0,00016900
19 0,00013500
19 0,00020600
19 0,00010100
19 0,00010100
19 0,00008100
19 0,00011100
19 0,00013700
19 0,00015300
19 0,00018200
19 0,00009100
19 0,00011200
19 0,00018000
19 0,00009000
19 0,00009700
18 0,00020800
18 0,00011500
18 0,00013800
18 0,00019200
18 0,00027100
18 0,00016900
18 0,00007100
18 0,00010600
18 0,00012400
18 0,00010900
18 0,00012400
18 0,00014400
18 0,00011600
18 0,00012100
18 0,00012200
17 0,00007600
17 0,00017000
17 0,00021100
17 0,00016600
17 0,00011200
17 0,00014700
17 0,00013000
17 0,00022000
17 0,00011300
17 0,00005800
17 0,00008200
17 0,00011900
17 0,00012400
17 0,00012400
17 0,00011700
16 0,00013100
16 0,00014200
16 0,00011100
16 0,00010000
16 0,00007000
16 0,00010200
16 0,00011300
16 0,00016600
16 0,00013700
16 0,00009700
16 0,00009400
16 0,00008000
16 0,00013200
16 0,00013200
16 0,00017100
15 0,00015900
15 0,00014900
15 0,00022600
15 0,00011200
15 0,00010400
15 0,00009800
15 0,00010500
15 0,00009700
15 0,00012400
15 0,00012600
15 0,00014300
15 0,00015600
15 0,00016100
15 0,00011000
15 0,00010500
14 0,00013800
14 0,00026300
14 0,00015900
14 0,00008300
14 0,00014500
14 0,00008600
14 0,00008500
14 0,00012000
14 0,00008800
14 0,00010100
14 0,00015100
14 0,00011300
14 0,00011300
14 0,00009800
14 0,00015000
13 0,00011600
13 0,00013500
13 0,00013300
13 0,00009000
13 0,00010400
13 0,00010300
13 0,00012200
13 0,00013100
13 0,00009300
13 0,00008700
13 0,00012100
13 0,00014100
13 0,00011900
13 0,00008900
13 0,00007900
12 0,00009400
12 0,00008800
12 0,00010500
12 0,00015100
12 0,00012100
12 0,00016300
12 0,00027600
12 0,00021000
12 0,00020300
12 0,00020400
12 0,00009100
12 0,00011900
12 0,00010400
12 0,00012300
12 0,00011500
11 0,00010900
11 0,00013600
11 0,00013900
11 0,00011800
11 0,00012500
11 0,00021700
11 0,00023400
11 0,00022100
11 0,00011100
11 0,00014100
11 0,00009700
11 0,00011500
11 0,00012400
11 0,00008800
11 0,00008200
10 0,00007500
10 0,00009600
10 0,00009900
10 0,00012600
10 0,00017500
10 0,00021500
10 0,00017500
10 0,00018300
10 0,00018300
10 0,00010000
10 0,00011200
10 0,00013800
10 0,00012800
10 0,00011800
10 0,00010400
9 0,00012600
9 0,00024700
9 0,00009100
9 0,00006400
9 0,00008600
9 0,00009600
9 0,00009500
9 0,00009700
9 0,00013200
9 0,00016000
9 0,00010200
9 0,00013000
9 0,00013500
9 0,00009800
9 0,00008300
8 0,00011200
8 0,00010400
8 0,00011300
8 0,00012900
8 0,00012100
8 0,00014800
8 0,00010000
8 0,00011500
8 0,00010000
8 0,00006800
8 0,00013200
8 0,00007300
8 0,00007300
8 0,00012100
8 0,00010200
7 0,00013800
7 0,00013500
7 0,00013000
7 0,00016500
7 0,00012900
7 0,00011200
7 0,00008700
7 0,00009300
7 0,00009000
7 0,00012000
7 0,00015400
7 0,00012500
7 0,00012000
7 0,00010300
7 0,00013200
6 0,00013600
6 0,00007500
6 0,00010000
6 0,00024600
6 0,00024500
6 0,00019400
6 0,00017000
6 0,00014800
6 0,00013700
6 0,00011800
6 0,00010100
6 0,00008800
6 0,00009700
6 0,00010100
6 0,00013500
5 0,00013800
5 0,00013800
5 0,00017400
5 0,00025000
5 0,00024200
5 0,00026500
5 0,00017700
5 0,00008800
5 0,00010400
5 0,00015100
5 0,00018000
5 0,00014900
5 0,00011300
5 0,00013300
5 0,00014600
4 0,00013000
4 0,00011300
4 0,00009400
4 0,00008900
4 0,00018900
4 0,00013800
4 0,00015100
4 0,00015100
4 0,00023600
4 0,00013500
4 0,00011300
4 0,00011200
4 0,00008500
4 0,00011500
4 0,00011400
3 0,00012800
3 0,00011900
3 0,00010600
3 0,00012100
3 0,00015200
3 0,00013300
3 0,00010300
3 0,00010300
3 0,00010300
3 0,00010900
3 0,00013200
3 0,00014300
3 0,00012600
3 0,00013000
3 0,00010000
2 0,00012300
2 0,00011500
2 0,00010000
2 0,00007900
2 0,00011400
2 0,00011100
2 0,00013200
2 0,00015600
2 0,00012000
2 0,00012700
2 0,00013000
2 0,00012100
2 0,00011300
2 0,00010400
2 0,00011000
1 0,00013300
1 0,00012500
1 0,00011400
1 0,00014800
1 0,00024700
1 0,00023300
1 0,00016700
1 0,00011000
1 0,00008000
1 0,00010000
1 0,00010600
1 0,00012500
1 0,00015900
1 0,00016400
1 0,00010700
0 0,00012800
0 0,00014500
0 0,00009400
0 0,00009800
0 0,00009200
0 0,00009300
0 0,00009700
0 0,00013700
0 0,00013100
0 0,00010200
0 0,00012400
0 0,00012100
0 0,00012200
0 0,00011700
0 0,00010400
9 0,00010100
9 0,00014200
9 0,00025500
9 0,00023200
9 0,00019900
9 0,00009300
9 0,00010500
9 0,00008800
9 0,00010600
9 0,00010400
9 0,00010500
9 0,00011500
9 0,00010400
9 0,00011500
9 0,00012700
8 0,00013900
8 0,00009700
8 0,00008000
8 0,00008100
8 0,00011900
8 0,00010100
8 0,00009300
8 0,00010100
8 0,00010100
8 0,00009900
8 0,00011800
8 0,00022200
8 0,00020400
8 0,00009700
8 0,00015200
7 0,00014100
7 0,00012500
7 0,00009700
7 0,00012500
7 0,00014300
7 0,00010600
7 0,00009100
7 0,00009400
7 0,00010500
7 0,00011200
7 0,00013000
7 0,00011700
7 0,00015700
7 0,00022900
7 0,00021500
6 0,00014200
6 0,00010300
6 0,00008600
6 0,00009000
6 0,00011500
6 0,00012800
6 0,00012600
6 0,00014200
6 0,00012600
6 0,00009800
6 0,00007400
6 0,00007400
6 0,00005900
6 0,00008900
6 0,00010300
5 0,00011900
5 0,00011900
5 0,00013700
5 0,00015300
5 0,00018400
5 0,00008200
5 0,00007900
5 0,00010600
5 0,00009900
5 0,00013200
5 0,00011900
5 0,00013800
5 0,00011100
5 0,00009500
5 0,00012600
4 0,00013700
4 0,00009200
4 0,00008100
4 0,00009800
4 0,00008100
4 0,00007900
4 0,00010400
4 0,00014100
4 0,00013000
4 0,00011100
4 0,00012900
4 0,00013400
4 0,00013200
4 0,00008100
4 0,00009700
3 0,00013200
3 0,00022700
3 0,00016900
3 0,00024700
3 0,00024400
3 0,00012200
3 0,00010100
3 0,00008700
3 0,00009900
3 0,00010300
3 0,00012200
3 0,00021000
3 0,00011800
3 0,00012900
3 0,00010200
2 0,00012900
2 0,00012700
2 0,00008800
2 0,00010700
2 0,00022100
2 0,00019100
2 0,00010500
2 0,00011800
2 0,00010000
2 0,00013900
2 0,00012300
2 0,00014100
2 0,00014200
2 0,00008400
2 0,00008700
1 0,00010300
1 0,00008000
1 0,00007800
1 0,00009500
1 0,00009700
1 0,00011800
1 0,00013400
1 0,00015100
1 0,00013800
1 0,00015200
1 0,00012500
1 0,00009000
1 0,00009000
1 0,00008200
1 0,00008400
0 0,00012200
0 0,00011500
0 0,00012900
0 0,00012500
0 0,00011800
0 0,00017000
0 0,00023200
0 0,00009800
0 0,00009800
0 0,00009500
0 0,00008200
0 0,00009300
0 0,00009300
0 0,00011400
0 0,00011900
16 0,00015300
16 0,00023300
16 0,00013000
16 0,00011900
16 0,00012700
16 0,00018000
16 0,00028500
16 0,00034000
16 0,00026700
16 0,00018500
16 0,00032400
16 0,00031800
16 0,00023300
16 0,00019800
16 0,00033500
15 0,00024700
15 0,00030100
15 0,00011800
15 0,00012400
15 0,00013400
15 0,00015400
15 0,00024700
15 0,00014300
15 0,00030400
15 0,00030200
15 0,00012300
15 0,00019800
15 0,00025600
15 0,00011200
15 0,00021000
14 0,00034000
14 0,00014300
14 0,00008300
14 0,00013200
14 0,00033900
14 0,00021100
14 0,00018800
14 0,00012400
14 0,00014800
14 0,00017500
14 0,00020100
14 0,00024000
14 0,00033800
14 0,00027600
14 0,00026200
13 0,00020500
13 0,00011200
13 0,00022000
13 0,00019700
13 0,00017700
13 0,00013600
13 0,00008900
13 0,00011600
13 0,00014700
13 0,00019200
13 0,00021900
13 0,00027100
13 0,00008200
13 0,00013100
13 0,00020900
12 0,00029900
12 0,00028700
12 0,00020500
12 0,00018100
12 0,00010900
12 0,00014400
12 0,00017700
12 0,00028100
12 0,00025300
12 0,00024400
12 0,00008900
12 0,00007400
12 0,00010200
12 0,00010000
12 0,00010200
11 0,00012900
11 0,00013400
11 0,00029800
11 0,00027400
11 0,00009100
11 0,00007900
11 0,00011400
11 0,00029100
11 0,00027700
11 0,00013500
11 0,00012300
11 0,00011600
11 0,00009500
11 0,00010800
11 0,00011000
10 0,00007900
10 0,00011700
10 0,00012900
10 0,00014600
10 0,00011900
10 0,00011400
10 0,00013100
10 0,00013900
10 0,00009300
10 0,00009700
10 0,00010800
10 0,00011000
10 0,00011700
10 0,00012000
10 0,00013900
9 0,00010500
9 0,00013600
9 0,00013600
9 0,00011200
9 0,00009100
9 0,00008700
9 0,00008400
9 0,00010300
9 0,00011800
9 0,00012000
9 0,00014000
9 0,00012500
9 0,00013700
9 0,00014300
9 0,00012500
8 0,00008700
8 0,00009600
8 0,00010000
8 0,00010500
8 0,00010500
8 0,00013700
8 0,00013900
8 0,00012800
8 0,00014300
8 0,00016100
8 0,00010300
8 0,00012900
8 0,00009600
8 0,00009300
8 0,00010800
7 0,00011700
7 0,00010300
7 0,00010800
7 0,00015400
7 0,00017100
7 0,00012900
7 0,00012600
7 0,00008000
7 0,00007300
7 0,00011200
7 0,00024600
7 0,00014500
7 0,00012700
7 0,00013500
7 0,00011300
6 0,00013200
6 0,00013600
6 0,00009100
6 0,00011700
6 0,00009700
6 0,00010900
6 0,00012700
6 0,00013300
6 0,00014500
6 0,00011500
6 0,00012300
6 0,00015600
6 0,00011600
6 0,00022900
6 0,00017100
5 0,00007900
5 0,00008200
5 0,00009600
5 0,00013900
5 0,00011800
5 0,00010700
5 0,00014000
5 0,00014200
5 0,00011800
5 0,00008800
5 0,00008000
5 0,00010200
5 0,00010500
5 0,00009600
5 0,00015400
4 0,00012400
4 0,00012200
4 0,00012400
4 0,00015800
4 0,00012600
4 0,00009300
4 0,00009900
4 0,00010400
4 0,00009800
4 0,00014000
4 0,00013700
4 0,00012600
4 0,00011800
4 0,00017100
4 0,00023800
3 0,00012800
3 0,00017700
3 0,00010800
3 0,00010900
3 0,00011600
3 0,00014500
3 0,00012000
3 0,00010200
3 0,00013100
3 0,00012600
3 0,00013400
3 0,00020500
3 0,00019100
3 0,00010600
3 0,00011400
2 0,00014400
2 0,00015400
2 0,00014700
2 0,00009900
2 0,00014200
2 0,00026000
2 0,00012100
2 0,00022400
2 0,00021000
2 0,00014700
2 0,00013700
2 0,00018800
2 0,00024800
2 0,00025000
2 0,00021200
1 0,00009100
1 0,00009500
1 0,00009900
1 0,00015800
1 0,00015200
1 0,00014500
1 0,00011200
1 0,00012400
1 0,00013000
1 0,00012700
1 0,00007600
1 0,00011300
1 0,00009800
1 0,00010000
1 0,00011200
0 0,00012000
0 0,00012800
0 0,00011600
0 0,00013100
0 0,00012700
0 0,00009700
0 0,00011200
0 0,00007300
0 0,00007400
0 0,00009400
0 0,00012600
0 0,00011100
0 0,00012200
0 0,00012900
0 0,00010200
25 0,00011000
25 0,00010200
25 0,00013400
25 0,00023200
25 0,00018300
25 0,00025600
25 0,00027300
25 0,00024300
25 0,00014100
25 0,00023000
25 0,00013100
25 0,00010400
25 0,00011700
25 0,00013600
25 0,00025800
24 0,00024200
24 0,00013600
24 0,00025900
24 0,00025400
24 0,00026300
24 0,00023000
24 0,00014100
24 0,00025800
24 0,00024400
24 0,00025400
24 0,00027900
24 0,00023700
24 0,00010800
24 0,00010600
24 0,00010200
23 0,00014000
23 0,00022100
23 0,00012200
23 0,00013600
23 0,00021800
23 0,00012500
23 0,00026400
23 0,00024200
23 0,00010900
23 0,00015200
23 0,00023700
23 0,00028400
23 0,00024000
23 0,00014200
23 0,00025400
22 0,00021800
22 0,00014200
22 0,00024000
22 0,00013000
22 0,00012800
22 0,00014700
22 0,00025500
22 0,00022600
22 0,00013500
22 0,00010200
22 0,00018300
22 0,00027000
22 0,00025600
22 0,00028100
22 0,00028600
21 0,00015600
21 0,00008100
21 0,00011500
21 0,00012700
21 0,00014800
21 0,00012300
21 0,00009300
21 0,00010600
21 0,00010300
21 0,00010400
21 0,00012300
21 0,00027200
21 0,00022800
21 0,00013500
21 0,00021700
20 0,00010700
20 0,00008400
20 0,00017400
20 0,00015400
20 0,00019900
20 0,00023200
20 0,00014400
20 0,00012300
20 0,00014100
20 0,00014700
20 0,00012100
20 0,00013800
20 0,00020500
20 0,00007800
20 0,00010400
19 0,00012000
19 0,00025500
19 0,00015900
19 0,00017800
19 0,00013800
19 0,00010700
19 0,00016500
19 0,00027100
19 0,00022700
19 0,00016500
19 0,00009200
19 0,00017300
19 0,00014500
19 0,00017300
19 0,00017500
18 0,00016200
18 0,00019700
18 0,00022900
18 0,00007800
18 0,00008800
18 0,00012200
18 0,00019300
18 0,00019400
18 0,00014400
18 0,00011200
18 0,00014000
18 0,00011800
18 0,00012600
18 0,00012900
18 0,00012900
17 0,00014900
17 0,00016800
17 0,00013400
17 0,00010300
17 0,00014000
17 0,00015400
17 0,00025900
17 0,00014500
17 0,00010600
17 0,00017900
17 0,00026600
17 0,00024500
17 0,00011400
17 0,00014400
17 0,00013500
16 0,00012800
16 0,00013600
16 0,00015600
16 0,00014300
16 0,00014700
16 0,00014300
16 0,00018600
16 0,00015700
16 0,00017300
16 0,00031100
16 0,00016900
16 0,00022700
16 0,00009600
16 0,00010000
16 0,00016400
15 0,00024100
15 0,00012500
15 0,00018600
15 0,00024700
15 0,00014800
15 0,00009700
15 0,00009400
15 0,00009900
15 0,00008900
15 0,00009600
15 0,00010300
15 0,00011600
15 0,00011400
15 0,00019600
15 0,00014600
14 0,00012800
14 0,00010600
14 0,00009900
14 0,00009300
14 0,00009000
14 0,00015100
14 0,00017500
14 0,00011200
14 0,00014000
14 0,00026000
14 0,00021900
14 0,00010100
14 0,00008400
14 0,00010600
14 0,00010600
13 0,00009600
13 0,00011700
13 0,00011900
13 0,00014200
13 0,00013200
13 0,00013900
13 0,00014300
13 0,00014200
13 0,00013500
13 0,00012100
13 0,00010500
13 0,00014300
13 0,00013900
13 0,00011800
13 0,00011800
12 0,00011800
12 0,00013300
12 0,00013500
12 0,00010600
12 0,00008200
12 0,00008500
12 0,00009200
12 0,00011200
12 0,00012600
12 0,00011200
12 0,00010700
12 0,00013200
12 0,00011300
12 0,00015500
12 0,00026700
11 0,00017400
11 0,00011800
11 0,00013000
11 0,00012600
11 0,00013400
11 0,00015500
11 0,00026300
11 0,00011100
11 0,00012100
11 0,00015100
11 0,00024200
11 0,00013100
11 0,00011500
11 0,00016300
11 0,00009400
10 0,00009700
10 0,00010200
10 0,00009800
10 0,00009600
10 0,00008000
10 0,00011700
10 0,00012200
10 0,00014800
10 0,00028600
10 0,00024400
10 0,00017600
10 0,00008700
10 0,00009600
10 0,00009800
10 0,00011800
9 0,00015100
9 0,00012300
9 0,00013100
9 0,00016000
9 0,00012000
9 0,00008800
9 0,00006300
9 0,00008200
9 0,00008100
9 0,00008100
9 0,00008800
9 0,00014400
9 0,00014100
9 0,00024600
9 0,00025100
8 0,00021500
8 0,00010000
8 0,00009600
8 0,00011800
8 0,00023500
8 0,00027100
8 0,00016600
8 0,00011700
8 0,00011200
8 0,00011800
8 0,00017600
8 0,00026700
8 0,00009700
8 0,00009400
8 0,00008700
7 0,00010200
7 0,00012200
7 0,00013000
7 0,00013600
7 0,00023100
7 0,00024600
7 0,00023300
7 0,00018700
7 0,00009900
7 0,00010100
7 0,00009100
7 0,00007500
7 0,00011900
7 0,00010300
7 0,00013600
6 0,00012900
6 0,00010100
6 0,00011000
6 0,00013100
6 0,00009900
6 0,00009200
6 0,00008600
6 0,00010000
6 0,00011400
6 0,00019900
6 0,00010100
6 0,00010100
6 0,00014000
6 0,00022100
6 0,00008300
5 0,00006500
5 0,00008800
5 0,00008500
5 0,00012700
5 0,00012500
5 0,00013000
5 0,00008500
5 0,00006600
5 0,00008500
5 0,00005600
5 0,00008500
5 0,00014900
5 0,00024700
5 0,00021800
5 0,00025500
4 0,00008400
4 0,00014300
4 0,00010200
4 0,00010100
4 0,00009000
4 0,00009200
4 0,00010900
4 0,00011800
4 0,00013100
4 0,00010600
4 0,00014800
4 0,00015800
4 0,00024100
4 0,00017100
4 0,00014300
3 0,00010000
3 0,00012800
3 0,00009900
3 0,00007100
3 0,00006800
3 0,00009700
3 0,00008400
3 0,00011000
3 0,00017000
3 0,00011700
3 0,00008700
3 0,00014300
3 0,00014400
3 0,00011100
3 0,00012500
2 0,00020700
2 0,00010200
2 0,00007700
2 0,00008500
2 0,00013200
2 0,00014600
2 0,00009900
2 0,00011400
2 0,00009300
2 0,00014900
2 0,00010700
2 0,00012300
2 0,00010100
2 0,00007500
2 0,00006900
1 0,00008300
1 0,00009000
1 0,00009000
1 0,00011500
1 0,00012900
1 0,00014200
1 0,00010400
1 0,00011400
1 0,00012900
1 0,00010900
1 0,00010100
1 0,00006400
1 0,00007100
1 0,00008800
1 0,00009000
0 0,00008700
0 0,00007200
0 0,00008100
0 0,00010800
0 0,00013100
0 0,00010800
0 0,00008700
0 0,00008800
0 0,00010000
0 0,00010100
0 0,00008800
0 0,00010800
0 0,00013500
0 0,00010500
0 0,00013000
