# tiempos tomados con podas G, S y Z, Muestras promediadas.
n^2-k tiempo
9 0,00009880
8 0,00010000
7 0,00013233
6 0,00010913
5 0,00010933
4 0,00012153
3 0,00012253
2 0,00011447
1 0,00011073
0 0,00012213
16 0,00011273
15 0,00012360
14 0,00011580
13 0,00012820
12 0,00011067
11 0,00010827
10 0,00012380
9 0,00011820
8 0,00012800
7 0,00011847
6 0,00010540
5 0,00011313
4 0,00011580
3 0,00013760
2 0,00010460
1 0,00010540
0 0,00012460
25 0,00012527
24 0,00010647
23 0,00014460
22 0,00015800
21 0,00011873
20 0,00012833
19 0,00011640
18 0,00012947
17 0,00011487
16 0,00012600
15 0,00012020
14 0,00011587
13 0,00010560
12 0,00011827
11 0,00010387
10 0,00011807
9 0,00010000
8 0,00012647
7 0,00013140
6 0,00012580
5 0,00010340
4 0,00010987
3 0,00009893
2 0,00012753
1 0,00012087
0 0,00011400
36 0,00012253
35 0,00013873
34 0,00018987
33 0,00020173
32 0,00015493
31 0,00015227
30 0,00017447
29 0,00016473
28 0,00017593
27 0,00015473
26 0,00012573
25 0,00014087
24 0,00015680
23 0,00012360
22 0,00013160
21 0,00014467
20 0,00012660
19 0,00010887
18 0,00012333
17 0,00011280
16 0,00012047
15 0,00014267
14 0,00011560
13 0,00010160
12 0,00011520
11 0,00012933
10 0,00011900
9 0,00011093
8 0,00011867
7 0,00011427
6 0,00012780
5 0,00012260
4 0,00011600
3 0,00012913
2 0,00012880
1 0,00012587
0 0,00012080
